LK_ID,LK_Name,LK_Type,Population,BL_Code,BL_Name,Twitter Account
6534,Marburg-Biedenkopf,Landkreis,246648,HE,Hessen,-
14628,Sächsische Schweiz-Osterzgebirge,Landkreis,245611,SN,Sachsen,-
11005,Berlin Spandau,Bezirk,243977,BE,Berlin,-
1062,Stormarn,Kreis,243196,SH,Schleswig-Holstein,Kreis_Stormarn
14627,Meißen,Landkreis,242165,SN,Sachsen,?
15002,Halle (Saale),Kreisfreie Stadt,239257,ST,Sachsen-Anhalt,stadt_halle
15003,Magdeburg,Kreisfreie Stadt,238697,ST,Sachsen-Anhalt,-
6436,Main-Taunus-Kreis,Landkreis,237735,HE,Hessen,-
13075,Vorpommern-Greifswald,Landkreis,236697,MV,Mecklenburg-Vorpommern,KreisVG
6633,Kassel,Landkreis,236633,HE,Hessen,?
6434,Hochtaunuskreis,Landkreis,236564,HE,Hessen,-
8216,Rastatt,Landkreis,231018,BW,Baden-Württemberg,?
8311,Freiburg im Breisgau,Stadtkreis,230241,BW,Baden-Württemberg,freiburg
8336,Lörrach,Landkreis,228639,BW,Baden-Württemberg,?
14523,Vogtlandkreis,Landkreis,227796,SN,Sachsen,-
8416,Tübingen,Landkreis,227331,BW,Baden-Württemberg,?
5114,Krefeld,Kreisfreie Stadt,227020,NW,Nordrhein-Westfalen,KrefeldStadt
13073,Vorpommern-Rügen,Landkreis,224684,MV,Mecklenburg-Vorpommern,-
6631,Fulda,Landkreis,222584,HE,Hessen,?
5558,Coesfeld,Kreis,219929,NW,Nordrhein-Westfalen,KreisCoesfeld
9179,Fürstenfeldbruck,Landkreis,219320,BY,Bayern,?
1003,Lübeck,Kreisfreie Stadt,217198,SH,Schleswig-Holstein,-
7315,Mainz,Kreisfreie Stadt,217118,RP,Rheinland-Pfalz,stadtmainz
3251,Diepholz,Landkreis,216886,NI,Niedersachsen,?
8435,Bodenseekreis,Landkreis,216227,BW,Baden-Württemberg,?
13072,Rostock,Landkreis,215113,MV,Mecklenburg-Vorpommern,?
12069,Potsdam-Mittelmark,Landkreis,214664,BB,Brandenburg,-
15085,Harz,Landkreis,214446,ST,Sachsen-Anhalt,?
7137,Mayen-Koblenz,Landkreis,214259,RP,Rheinland-Pfalz,-
16051,Erfurt,Kreisfreie Stadt,213699,TH,Thüringen,erfurt_de
13076,Ludwigslust-Parchim,Landkreis,212618,MV,Mecklenburg-Vorpommern,LKLUP
8326,Schwarzwald-Baar-Kreis,Landkreis,212381,BW,Baden-Württemberg,-
12065,Oberhavel,Landkreis,211249,BB,Brandenburg,?
7339,Mainz-Bingen,Landkreis,210889,RP,Rheinland-Pfalz,-
5119,Oberhausen,Kreisfreie Stadt,210829,NW,Nordrhein-Westfalen,StadtOberhausen
13003,Rostock,Kreisfreie Stadt,208886,MV,Mecklenburg-Vorpommern,rostock_de
3359,Stade,Landkreis,203102,NI,Niedersachsen,?
7143,Westerwaldkreis,Landkreis,201597,RP,Rheinland-Pfalz,?
6611,Kassel,Kreisfreie Stadt,201585,HE,Hessen,StadtKassel
1055,Ostholstein,Kreis,200581,SH,Schleswig-Holstein,-
1059,Schleswig-Flensburg,Kreis,200025,SH,Schleswig-Holstein,-
8426,Biberach,Landkreis,199742,BW,Baden-Württemberg,?
8236,Enzkreis,Landkreis,198905,BW,Baden-Württemberg,?
3352,Cuxhaven,Landkreis,198213,NI,Niedersachsen,?
14730,Nordsachsen,Landkreis,197673,SN,Sachsen,?
1053,Herzogtum Lauenburg,Kreis,197264,SH,Schleswig-Holstein,-
8425,Alb-Donau-Kreis,Landkreis,196047,BW,Baden-Württemberg,-
8127,Schwäbisch Hall,Landkreis,195861,BW,Baden-Württemberg,-
10044,Saarlouis,Landkreis,195201,SL,Saarland,?
12064,Märkisch-Oderland,Landkreis,194328,BB,Brandenburg,-
9375,Regensburg,Landkreis,193572,BY,Bayern,?
5366,Euskirchen,Kreis,192840,NW,Nordrhein-Westfalen,KV_Euskirchen
9275,Passau,Landkreis,192043,BY,Bayern,?
15089,Salzlandkreis,Landkreis,190560,ST,Sachsen-Anhalt,?
3452,Aurich,Landkreis,189848,NI,Niedersachsen,?
8417,Zollernalbkreis,Landkreis,188935,BW,Baden-Württemberg,?
5914,Hagen,Kreisfreie Stadt,188814,NW,Nordrhein-Westfalen,Hagen_Westfalen
6439,Rheingau-Taunus-Kreis,Landkreis,187157,HE,Hessen,-
15088,Saalekreis,Landkreis,184582,ST,Sachsen-Anhalt,?
9571,Ansbach,Landkreis,183949,BY,Bayern,?
3355,Lüneburg,Landkreis,183372,NI,Niedersachsen,lk_lueneburg
12060,Barnim,Landkreis,182760,BB,Brandenburg,?
7138,Neuwied,Landkreis,181941,RP,Rheinland-Pfalz,?
6634,Schwalm-Eder-Kreis,Landkreis,180222,HE,Hessen,?
15084,Burgenlandkreis,Landkreis,180190,ST,Sachsen-Anhalt,?
9178,Freising,Landkreis,179116,BY,Bayern,?
5915,Hamm,Kreisfreie Stadt,179111,NW,Nordrhein-Westfalen,hamm_stadt
3351,Celle,Landkreis,178936,NI,Niedersachsen,-
12067,Oder-Spree,Landkreis,178658,BB,Brandenburg,?
12054,Potsdam,Kreisfreie Stadt,178089,BB,Brandenburg,potsdam_de
9189,Traunstein,Landkreis,177089,BY,Bayern,?
3151,Gifhorn,Landkreis,175920,NI,Niedersachsen,?
9671,Aschaffenburg,Landkreis,174208,BY,Bayern,?
9775,Neu-Ulm,Landkreis,174200,BY,Bayern,?
6533,Limburg-Weilburg,Landkreis,172083,HE,Hessen,?
15083,Börde,Landkreis,171734,ST,Sachsen-Anhalt,?
7314,Ludwigshafen am Rhein,Kreisfreie Stadt,171061,RP,Rheinland-Pfalz,ludwigshafen_de
5117,Mülheim an der Ruhr,Kreisfreie Stadt,170880,NW,Nordrhein-Westfalen,Muelheim_Ruhr
8337,Waldshut,Landkreis,170619,BW,Baden-Württemberg,?
9574,Nürnberger Land,Landkreis,170365,BY,Bayern,?
3457,Leer,Landkreis,169809,NI,Niedersachsen,?
3453,Cloppenburg,Landkreis,169348,NI,Niedersachsen,?
12061,Dahme-Spreewald,Landkreis,169067,BB,Brandenburg,?
12072,Teltow-Fläming,Landkreis,168296,BB,Brandenburg,?
3403,Oldenburg (Oldb),Kreisfreie Stadt,168210,NI,Niedersachsen,-
1054,Nordfriesland,Kreis,165507,SH,Schleswig-Holstein,-
8316,Emmendingen,Landkreis,165383,BW,Baden-Württemberg,?
3404,Osnabrück,Kreisfreie Stadt,164748,NI,Niedersachsen,StadtOsnabrueck
5316,Leverkusen,Kreisfreie Stadt,163838,NW,Nordrhein-Westfalen,leverkusen_de
3357,Rotenburg (Wümme),Landkreis,163455,NI,Niedersachsen,?
12063,Havelland,Landkreis,161909,BB,Brandenburg,?
9679,Würzburg,Landkreis,161834,BY,Bayern,?
8221,Heidelberg,Stadtkreis,160355,BW,Baden-Württemberg,heidelberg_de
15082,Anhalt-Bitterfeld,Landkreis,159854,ST,Sachsen-Anhalt,?
5122,Solingen,Kreisfreie Stadt,159360,NW,Nordrhein-Westfalen,Klingenstadt
6411,Darmstadt,Kreisfreie Stadt,159207,HE,Hessen,Stadt_Darmstadt
9274,Landshut,Landkreis,158698,BY,Bayern,?
8235,Calw,Landkreis,158397,BW,Baden-Württemberg,?
7133,Bad Kreuznach,Landkreis,158080,RP,Rheinland-Pfalz,?
3257,Schaumburg,Landkreis,157781,NI,Niedersachsen,?
6635,Waldeck-Frankenberg,Landkreis,156953,HE,Hessen,?
13074,Nordwestmecklenburg,Landkreis,156729,MV,Mecklenburg-Vorpommern,?
5916,Herne,Kreisfreie Stadt,156374,NW,Nordrhein-Westfalen,Stadt_Herne
9780,Oberallgäu,Landkreis,155362,BY,Bayern,?
7338,Rhein-Pfalz-Kreis,Landkreis,154201,RP,Rheinland-Pfalz,?
9174,Dachau,Landkreis,153884,BY,Bayern,?
9362,Regensburg,Kreisfreie Stadt,152610,BY,Bayern,stadtregensburg
7235,Trier-Saarburg,Landkreis,148945,RP,Rheinland-Pfalz,?
3252,Hameln-Pyrmont,Landkreis,148559,NI,Niedersachsen,?
9376,Schwandorf,Landkreis,147189,BY,Bayern,?
9471,Bamberg,Landkreis,147086,BY,Bayern,?
9778,Unterallgäu,Landkreis,144041,BY,Bayern,?
8225,Neckar-Odenwald-Kreis,Landkreis,143535,BW,Baden-Württemberg,?
10045,Saarpfalz-Kreis,Landkreis,142631,SL,Saarland,?
9175,Ebersberg,Landkreis,142142,BY,Bayern,?
3460,Vechta,Landkreis,141598,NI,Niedersachsen,?
5762,Höxter,Kreis,140667,NW,Nordrhein-Westfalen,Kreis_Hoexter
9777,Ostallgäu,Landkreis,140316,BY,Bayern,?
8327,Tuttlingen,Landkreis,140152,BW,Baden-Württemberg,?
3358,Heidekreis,Landkreis,139755,NI,Niedersachsen,?
8325,Rottweil,Landkreis,139455,BW,Baden-Württemberg,?
9177,Erding,Landkreis,137660,BY,Bayern,?
3153,Goslar,Landkreis,137014,NI,Niedersachsen,?
9161,Ingolstadt,Kreisfreie Stadt,136981,BY,Bayern,Ingolstadt_IN
3361,Verden,Landkreis,136792,NI,Niedersachsen,?
3456,Grafschaft Bentheim,Landkreis,136511,NI,Niedersachsen,?
9572,Erlangen-Höchstadt,Landkreis,136271,BY,Bayern,LRA_ERH
15087,Mansfeld-Südharz,Landkreis,136249,ST,Sachsen-Anhalt,?
9188,Starnberg,Landkreis,136092,BY,Bayern,?
16067,Gotha,Landkreis,135452,TH,Thüringen,?
9190,Weilheim-Schongau,Landkreis,135348,BY,Bayern,?
5966,Olpe,Kreis,134775,NW,Nordrhein-Westfalen,Kreis_Olpe
3157,Peine,Landkreis,133965,NI,Niedersachsen,?
9771,Aichach-Friedberg,Landkreis,133596,BY,Bayern,?
9373,Neumarkt i.d. OPf.,Landkreis,133561,BY,Bayern,?
9779,Donau-Ries,Landkreis,133496,BY,Bayern,?
1051,Dithmarschen,Kreis,133210,SH,Schleswig-Holstein,-
3155,Northeim,Landkreis,132765,NI,Niedersachsen,?
7332,Bad Dürkheim,Landkreis,132660,RP,Rheinland-Pfalz,?
8135,Heidenheim,Landkreis,132472,BW,Baden-Württemberg,?
9176,Eichstätt,Landkreis,132341,BY,Bayern,?
8128,Main-Tauber-Kreis,Landkreis,132321,BW,Baden-Württemberg,?
10043,Neunkirchen,Landkreis,132206,SL,Saarland,?
1061,Steinburg,Kreis,131347,SH,Schleswig-Holstein,-
8437,Sigmaringen,Landkreis,130873,BW,Baden-Württemberg,?
3458,Oldenburg,Landkreis,130144,NI,Niedersachsen,?
7131,Ahrweiler,Landkreis,129727,RP,Rheinland-Pfalz,?
7331,Alzey-Worms,Landkreis,129244,RP,Rheinland-Pfalz,?
7334,Germersheim,Landkreis,129075,RP,Rheinland-Pfalz,?
9676,Miltenberg,Landkreis,128756,BY,Bayern,?
6413,Offenbach am Main,Kreisfreie Stadt,128744,HE,Hessen,Stadt_OF
7132,Altenkirchen (Westerwald),Landkreis,128705,RP,Rheinland-Pfalz,?
1057,Plön,Kreis,128647,SH,Schleswig-Holstein,-
9372,Cham,Landkreis,127882,BY,Bayern,?
9663,Würzburg,Kreisfreie Stadt,127880,BY,Bayern,stadtwuerzburg
9563,Fürth,Kreisfreie Stadt,127748,BY,Bayern,stadtfuerth
9173,Bad Tölz-Wolfratshausen,Landkreis,127227,BY,Bayern,?
9186,Pfaffenhofen a.d. Ilm,Landkreis,127151,BY,Bayern,?
9576,Roth,Landkreis,126958,BY,Bayern,?
9677,Main-Spessart,Landkreis,126365,BY,Bayern,?
8421,Ulm,Stadtkreis,126329,BW,Baden-Württemberg,ulm_donau
8121,Heilbronn,Stadtkreis,125960,BW,Baden-Württemberg,heilbronn_de
15091,Wittenberg,Landkreis,125840,ST,Sachsen-Anhalt,?
9774,Günzburg,Landkreis,125747,BY,Bayern,?
8231,Pforzheim,Stadtkreis,125542,BW,Baden-Württemberg,stadt_pforzheim
3103,Wolfsburg,Kreisfreie Stadt,124151,NI,Niedersachsen,Stadt_Wolfsburg
3451,Ammerland,Landkreis,124071,NI,Niedersachsen,?
16063,Wartburgkreis,Landkreis,123025,TH,Thüringen,?
16066,Schmalkalden-Meiningen,Landkreis,122347,TH,Thüringen,?
7141,Rhein-Lahn-Kreis,Landkreis,122308,RP,Rheinland-Pfalz,?
9273,Kelheim,Landkreis,122258,BY,Bayern,?
3256,Nienburg (Weser),Landkreis,121386,NI,Niedersachsen,?
6632,Hersfeld-Rotenburg,Landkreis,120829,HE,Hessen,?
9277,Rottal-Inn,Landkreis,120659,BY,Bayern,?
9181,Landsberg am Lech,Landkreis,120071,BY,Bayern,?
3158,Wolfenbüttel,Landkreis,119960,NI,Niedersachsen,?
12073,Uckermark,Landkreis,119552,BB,Brandenburg,?
9271,Deggendorf,Landkreis,119326,BY,Bayern,?
8237,Freudenstadt,Landkreis,117935,BW,Baden-Württemberg,?
9573,Fürth,Landkreis,117387,BY,Bayern,landkreisfuerth
5512,Bottrop,Kreisfreie Stadt,117383,NW,Nordrhein-Westfalen,bottrop
9474,Forchheim,Landkreis,116099,BY,Bayern,-
9183,Mühldorf a. Inn,Landkreis,115250,BY,Bayern,?
9678,Schweinfurt,Landkreis,115106,BY,Bayern,?
12071,Spree-Neiße,Landkreis,114429,BB,Brandenburg,?
7111,Koblenz,Kreisfreie Stadt,114024,RP,Rheinland-Pfalz,-
4012,Bremerhaven,Kreisfreie Stadt,113634,HB,Bremen,bremerhaven_de
3356,Osterholz,Landkreis,113517,NI,Niedersachsen,?
7231,Bernkastel-Wittlich,Landkreis,112262,RP,Rheinland-Pfalz,?
8126,Hohenlohekreis,Landkreis,112010,BW,Baden-Württemberg,?
15090,Stendal,Landkreis,111982,ST,Sachsen-Anhalt,?
9562,Erlangen,Kreisfreie Stadt,111962,BY,Bayern,erlangen_de
16053,Jena,Kreisfreie Stadt,111407,TH,Thüringen,jenalichtstadt
9171,Altötting,Landkreis,111210,BY,Bayern,?
5120,Remscheid,Kreisfreie Stadt,110994,NW,Nordrhein-Westfalen,-
7211,Trier,Kreisfreie Stadt,110636,RP,Rheinland-Pfalz,Stadt_Trier
12066,Oberspreewald-Lausitz,Landkreis,110476,BB,Brandenburg,?
7337,Südliche Weinstraße,Landkreis,110356,RP,Rheinland-Pfalz,?
16070,Ilm-Kreis,Landkreis,108742,TH,Thüringen,?
16073,Saalfeld-Rudolstadt,Landkreis,106356,TH,Thüringen,?
7335,Kaiserslautern,Landkreis,106057,RP,Rheinland-Pfalz,?
6535,Vogelsbergkreis,Landkreis,105878,HE,Hessen,?
9172,Berchtesgadener Land,Landkreis,105722,BY,Bayern,?
3102,Salzgitter,Kreisfreie Stadt,104948,NI,Niedersachsen,stadtsalzgitter
9472,Bayreuth,Landkreis,103656,BY,Bayern,?
10042,Merzig-Wadern,Landkreis,103366,SL,Saarland,?
9672,Bad Kissingen,Landkreis,103218,BY,Bayern,?
9371,Amberg-Sulzbach,Landkreis,103109,BY,Bayern,?
7140,Rhein-Hunsrück-Kreis,Landkreis,102937,RP,Rheinland-Pfalz,?
